name1	name2	siteStart1	siteEnd1	siteStart2	siteEnd2	siteLen	siteCmpl	siteScore	regStart1	regLen1	regStart2	regLen2	regGC	deltaG	Pvalue	Padj	key
2259	ENSMUST00000184554.7	chr19_18419252_18419551_+@SSBP4_ENSMUST00000210756.1:Ssbp4	87	109	688	710	23	0.73913	54	64	69	665	69	0.71014	-13.27	0.0053	0.0113	chr19_18419252_18419551_+@SSBP4_ENSMUST00000210756.1:Ssbp4 87
2260	ENSMUST00000184554.7	chr17_50150985_50151284_-@PPP1R9B_ENSMUST00000038696.11:Ppp1r9b	88	128	898	937	41	0.68293	55	47	123	857	122	0.77551	-13.27	0.000327	0.00149	chr17_50150985_50151284_-@PPP1R9B_ENSMUST00000038696.11:Ppp1r9b 88
2261	ENSMUST00000184554.7	chr12_122980325_122980517_+@ARL6IP4_ENSMUST00000149835.1:Arl6ip4	121	143	6	27	23	0.73913	46	98	69	1	50	0.77311	-13.27	0.0059	0.0123	chr12_122980325_122980517_+@ARL6IP4_ENSMUST00000149835.1:Arl6ip4 121
2262	ENSMUST00000184554.7	chr11_65780826_65781125_-@AP5B1_ENSMUST00000096318.3:Ap5b1	731	747	563	579	17	0.82353	36	714	51	546	51	0.42157	-13.27	0.00326	0.00785	chr11_65780826_65781125_-@AP5B1_ENSMUST00000096318.3:Ap5b1 731
2263	ENSMUST00000184554.7	chr12_51270869_51271168_-@SMAGP_ENSMUST00000172334.8:Smagp	2	26	780	804	25	0.68	53	1	51	755	75	0.81746	-13.27	0.00946	0.0176	chr12_51270869_51271168_-@SMAGP_ENSMUST00000172334.8:Smagp 2
2264	ENSMUST00000184554.7	chr12_55728842_55728997_-@CD63_ENSMUST00000220245.1:Cd63	435	446	581	592	12	0.83333	40	423	36	569	36	0.625	-13.27	0.00014	0.000808	chr12_55728842_55728997_-@CD63_ENSMUST00000220245.1:Cd63 435
2265	ENSMUST00000184554.7	chr4_101347541_101347729_-@PPP3CA_ENSMUST00000124206.1:Ppp3ca	36	49	261	274	14	0.85714	41	22	42	247	42	0.83333	-13.26	7.81e-05	0.00053	chr4_101347541_101347729_-@PPP3CA_ENSMUST00000124206.1:Ppp3ca 36
2266	ENSMUST00000184554.7	chr14_104689468_104689767_+@INF2_ENSMUST00000101029.3:Inf2	94	106	230	242	13	0.76923	36	81	39	217	39	0.74359	-13.26	7.84e-06	0.000109	chr14_104689468_104689767_+@INF2_ENSMUST00000101029.3:Inf2 94
2267	ENSMUST00000184554.7	chr10_73167969_73168268_+@FAM149B1_ENSMUST00000224079.1:Fam149b	132	150	35	53	19	0.68421	42	113	57	16	57	0.77193	-13.26	0.00355	0.00833	chr10_73167969_73168268_+@FAM149B1_ENSMUST00000224079.1:Fam149b 132
2268	ENSMUST00000184554.7	chr19_15449793_15450092_-@WIZ_ENSMUST00000171728.2:Wiz	27	38	359	370	12	0.91667	43	15	36	347	36	0.84722	-13.26	0.000268	0.0013	chr19_15449793_15450092_-@WIZ_ENSMUST00000171728.2:Wiz 27
2269	ENSMUST00000184554.7	chr1_220093982_220094281_+@IARS2_ENSMUST00000027921.10:Iars2	28	47	528	546	20	0.85	43	8	60	508	59	0.79832	-13.26	0.000458	0.00188	chr1_220093982_220094281_+@IARS2_ENSMUST00000027921.10:Iars2 28
2270	ENSMUST00000184554.7	chr8_41490524_41490731_+@GOLGA7_ENSMUST00000121783.6:Golga7	130	145	746	761	16	0.75	50	114	48	730	48	0.76042	-13.26	0.00147	0.00433	chr8_41490524_41490731_+@GOLGA7_ENSMUST00000121783.6:Golga7 130
2271	ENSMUST00000184554.7	chr2_180980483_180980740_+@UBE2E3_ENSMUST00000153614.7:Ube2e3	21	39	460	478	19	0.68421	42	2	57	441	57	0.62281	-13.26	0.000503	0.002	chr2_180980483_180980740_+@UBE2E3_ENSMUST00000153614.7:Ube2e3 21
2272	ENSMUST00000184554.7	chr17_7884646_7884945_+@CHD3_ENSMUST00000092971.12:Chd3	98	113	330	345	16	0.8125	48	82	48	314	48	0.85417	-13.26	0.000613	0.00233	chr17_7884646_7884945_+@CHD3_ENSMUST00000092971.12:Chd3 98
2273	ENSMUST00000184554.7	chr5_129094601_129094900_+@ISOC1_ENSMUST00000238139.1:Isoc1	6	53	398	444	48	0.60417	40	1	101	350	143	0.77049	-13.26	0.000364	0.0016	chr5_129094601_129094900_+@ISOC1_ENSMUST00000238139.1:Isoc1 6
2274	ENSMUST00000184554.7	chr11_76860787_76861086_+@ACER3_ENSMUST00000137899.1:Acer3	40	54	740	754	15	0.93333	46	25	45	725	45	0.82222	-13.26	0.000162	0.000894	chr11_76860787_76861086_+@ACER3_ENSMUST00000137899.1:Acer3 40
2275	ENSMUST00000184554.7	chr2_99489850_99490099_-@REV1_ENSMUST00000027251.11:Rev1	21	43	839	861	23	0.69565	41	1	66	816	69	0.80741	-13.26	0.00124	0.00383	chr2_99489850_99490099_-@REV1_ENSMUST00000027251.11:Rev1 21
2276	ENSMUST00000184554.7	chr9_114155387_114155686_+@COL27A1_ENSMUST00000036300.12:Col27a1	135	149	512	526	15	0.8	40	120	45	497	45	0.73333	-13.26	3.53e-06	6.45e-05	chr9_114155387_114155686_+@COL27A1_ENSMUST00000036300.12:Col27a1 135
2277	ENSMUST00000184554.7	chr18_9913879_9914139_+@VAPA_ENSMUST00000024897.9:Vapa	118	130	212	224	13	0.92308	49	105	39	199	39	0.84615	-13.25	9.27e-07	2.76e-05	chr18_9913879_9914139_+@VAPA_ENSMUST00000024897.9:Vapa 118
2278	ENSMUST00000184554.7	chr1_151612120_151612338_+@SNX27_ENSMUST00000107283.7:Snx27	104	113	890	899	10	1	38	94	30	880	30	0.9	-13.25	4.3e-05	0.000365	chr1_151612120_151612338_+@SNX27_ENSMUST00000107283.7:Snx27 104
2279	ENSMUST00000184554.7	chr9_36400743_36400932_-@RNF38_ENSMUST00000129621.1:Rnf38	79	113	637	669	35	0.74286	46	44	105	602	103	0.81731	-13.25	0.00333	0.00794	chr9_36400743_36400932_-@RNF38_ENSMUST00000129621.1:Rnf38 79
2280	ENSMUST00000184554.7	chr4_2041906_2042144_+@C4orf48_ENSMUST00000114382.1:Gm1673	52	70	114	132	19	0.57895	38	33	57	95	57	0.7807	-13.25	0.0078	0.0153	chr4_2041906_2042144_+@C4orf48_ENSMUST00000114382.1:Gm1673 52
2281	ENSMUST00000184554.7	chr11_61816846_61817004_-@FADS1_ENSMUST00000235160.1:Fads1	100	127	116	143	28	0.67857	43	72	84	88	84	0.79167	-13.25	0.000211	0.00108	chr11_61816846_61817004_-@FADS1_ENSMUST00000235160.1:Fads1 100
2282	ENSMUST00000184554.7	chr10_95656509_95656746_-@ALDH18A1_ENSMUST00000176939.7:Aldh18a1	74	113	841	880	40	0.675	40	34	120	801	120	0.78333	-13.25	0.00112	0.00357	chr10_95656509_95656746_-@ALDH18A1_ENSMUST00000176939.7:Aldh18a1 74
2283	ENSMUST00000184554.7	chr16_4315918_4316217_+@GLIS2_ENSMUST00000014447.12:Glis2	91	106	23	37	16	0.875	39	75	48	7	47	0.81053	-13.25	7.78e-05	0.00053	chr16_4315918_4316217_+@GLIS2_ENSMUST00000014447.12:Glis2 91
2284	ENSMUST00000184554.7	chr1_156751683_156751865_-@MRPL24_ENSMUST00000005017.14:Hdgf	95	103	201	209	9	1	36	86	27	192	27	0.87037	-13.24	0.00107	0.00347	chr1_156751683_156751865_-@MRPL24_ENSMUST00000005017.14:Hdgf 95
2285	ENSMUST00000184554.7	chr12_76084629_76084665_-@NAP1L1_ENSMUST00000219143.1:Nap1l1	21	39	260	278	19	0.73684	40	2	57	241	57	0.84211	-13.24	1.47e-05	0.000174	chr12_76084629_76084665_-@NAP1L1_ENSMUST00000219143.1:Nap1l1 21
2286	ENSMUST00000184554.7	chr1_52726303_52726474_+@ZYG11B_ENSMUST00000043616.6:Zyg11b	402	422	515	535	21	0.7619	36	381	63	494	63	0.43651	-13.23	0.000922	0.00312	chr1_52726303_52726474_+@ZYG11B_ENSMUST00000043616.6:Zyg11b 402
2287	ENSMUST00000184554.7	chr3_194369593_194369892_-@LRRC15_ENSMUST00000064606.7:Lrrc15	27	37	621	631	11	0.81818	36	16	33	610	33	0.66667	-13.23	0.00505	0.0109	chr3_194369593_194369892_-@LRRC15_ENSMUST00000064606.7:Lrrc15 27
2288	ENSMUST00000184554.7	chr19_2236276_2236575_+@SF3A2_ENSMUST00000218209.1:Plekhj1	124	141	786	803	18	0.66667	45	106	54	768	54	0.73148	-13.23	0.000192	0.00101	chr19_2236276_2236575_+@SF3A2_ENSMUST00000218209.1:Plekhj1 124
2289	ENSMUST00000184554.7	chr3_172039634_172039797_+@FNDC3B_ENSMUST00000193779.1:Fndc3b	122	144	854	875	23	0.86957	48	99	69	831	68	0.78102	-13.23	7.17e-07	2.41e-05	chr3_172039634_172039797_+@FNDC3B_ENSMUST00000193779.1:Fndc3b 122
2290	ENSMUST00000184554.7	chr14_92794178_92794477_+@GOLGA5_ENSMUST00000021609.9:Golga5	101	119	145	163	19	0.73684	47	82	57	126	57	0.82456	-13.23	4.07e-06	7.18e-05	chr14_92794178_92794477_+@GOLGA5_ENSMUST00000021609.9:Golga5 101
2291	ENSMUST00000184554.7	chr6_43171119_43171292_+@SRF_ENSMUST00000015749.6:Srf	1	59	808	865	59	0.64407	39	1	59	808	58	0.80342	-13.2278	1.8e-10	1.88e-07	chr6_43171119_43171292_+@SRF_ENSMUST00000015749.6:Srf 1
2292	ENSMUST00000184554.7	chr14_61695355_61695507_+@HIF1A_ENSMUST00000110464.7:Hif1a	178	196	522	540	19	0.78947	46	159	57	503	57	0.72807	-13.22	4.08e-07	1.58e-05	chr14_61695355_61695507_+@HIF1A_ENSMUST00000110464.7:Hif1a 178
2293	ENSMUST00000184554.7	chr9_121299681_121299980_+@GSN_ENSMUST00000124323.4:Gsn	123	133	419	429	11	0.81818	36	112	33	408	33	0.71212	-13.22	0.00784	0.0153	chr9_121299681_121299980_+@GSN_ENSMUST00000124323.4:Gsn 123
2294	ENSMUST00000184554.7	chr17_57955123_57955307_-@CUEDC1_ENSMUST00000133149.1:Cuedc1	73	83	250	260	11	1	42	62	33	239	33	0.80303	-13.22	0.000113	0.000701	chr17_57955123_57955307_-@CUEDC1_ENSMUST00000133149.1:Cuedc1 73
2295	ENSMUST00000184554.7	chr14_24141551_24141740_-@EMC9_ENSMUST00000022828.8:Emc9	204	218	106	120	15	0.86667	38	189	45	91	45	0.43333	-13.22	0.00766	0.0151	chr14_24141551_24141740_-@EMC9_ENSMUST00000022828.8:Emc9 204
2296	ENSMUST00000184554.7	chr9_68779915_68780214_+@FAM122A_ENSMUST00000099556.1:Fam122a	180	193	916	929	14	0.92857	44	166	42	902	42	0.78571	-13.22	0.00357	0.00836	chr9_68779915_68780214_+@FAM122A_ENSMUST00000099556.1:Fam122a 180
2297	ENSMUST00000184554.7	chr5_140107670_140107937_+@PURA_ENSMUST00000051301.5:Pura	128	143	915	930	16	0.8125	39	112	48	899	48	0.69792	-13.22	9e-05	0.000583	chr5_140107670_140107937_+@PURA_ENSMUST00000051301.5:Pura 128
2298	ENSMUST00000184554.7	chr6_163414463_163414628_+@QKI_ENSMUST00000233645.1:Qk	121	142	905	926	22	0.72727	42	99	66	883	66	0.81061	-13.21	1.45e-09	5.27e-07	chr6_163414463_163414628_+@QKI_ENSMUST00000233645.1:Qk 121
2299	ENSMUST00000184554.7	chr17_75405524_75405823_-@GRB2_ENSMUST00000106495.7:Grb2	34	65	457	488	32	0.6875	38	2	96	425	96	0.72396	-13.21	4.05e-08	3.7e-06	chr17_75405524_75405823_-@GRB2_ENSMUST00000106495.7:Grb2 34
2300	ENSMUST00000184554.7	chr14_77028549_77028848_-@IRF2BPL_ENSMUST00000038422.7:Irf2bpl	14	26	412	424	13	0.92308	45	1	39	399	39	0.79487	-13.21	0.00313	0.00767	chr14_77028549_77028848_-@IRF2BPL_ENSMUST00000038422.7:Irf2bpl 14
2301	ENSMUST00000184554.7	chr3_179652890_179653189_+@USP13_ENSMUST00000172481.1:Usp13	181	191	262	272	11	0.81818	36	170	33	251	33	0.66667	-13.21	0.000236	0.00119	chr3_179652890_179653189_+@USP13_ENSMUST00000172481.1:Usp13 181
2302	ENSMUST00000184554.7	chr10_73495866_73496165_-@PPP3CB_ENSMUST00000161989.1:Ppp3cb	103	136	812	845	34	0.70588	58	69	102	778	102	0.79412	-13.21	0.00183	0.00507	chr10_73495866_73496165_-@PPP3CB_ENSMUST00000161989.1:Ppp3cb 103
2303	ENSMUST00000184554.7	chr2_100104724_100105023_-@AFF3_ENSMUST00000238906.1:Aff3	117	136	329	348	20	0.65	43	97	60	309	60	0.71667	-13.21	0.00693	0.014	chr2_100104724_100105023_-@AFF3_ENSMUST00000238906.1:Aff3 117
2304	ENSMUST00000184554.7	chr1_202958309_202958452_-@ADIPOR1_ENSMUST00000112237.1:Adipor1	176	202	284	308	27	0.7037	40	149	81	257	79	0.69375	-13.21	0.000182	0.000975	chr1_202958309_202958452_-@ADIPOR1_ENSMUST00000112237.1:Adipor1 176
2305	ENSMUST00000184554.7	chr19_31349337_31349488_-@TSHZ3_ENSMUST00000021641.7:Tshz3	29	43	294	308	15	0.8	40	14	45	279	45	0.71111	-13.21	1.85e-05	0.000198	chr19_31349337_31349488_-@TSHZ3_ENSMUST00000021641.7:Tshz3 29
2306	ENSMUST00000184554.7	chr6_163414629_163414718_+@QKI_ENSMUST00000233828.1:Qk	121	142	924	945	22	0.72727	42	99	66	902	66	0.81061	-13.21	1.12e-09	5.27e-07	chr6_163414629_163414718_+@QKI_ENSMUST00000233828.1:Qk 121
2307	ENSMUST00000184554.7	chr12_51270869_51271168_-@SMAGP_ENSMUST00000172334.8:Smagp	96	106	571	581	11	0.81818	38	85	33	560	33	0.75758	-13.21	0.00946	0.0176	chr12_51270869_51271168_-@SMAGP_ENSMUST00000172334.8:Smagp 96
2308	ENSMUST00000184554.7	chr1_107056559_107056858_+@PRMT6_ENSMUST00000190378.1:Prmt6	42	50	554	562	9	1	36	33	27	545	27	0.83333	-13.21	6.66e-05	0.000478	chr1_107056559_107056858_+@PRMT6_ENSMUST00000190378.1:Prmt6 42
2309	ENSMUST00000184554.7	chr10_73811710_73811969_-@NDST2_ENSMUST00000223679.1:Ndst2	182	194	684	696	13	0.92308	40	169	39	671	39	0.82051	-13.2	3.81e-07	1.56e-05	chr10_73811710_73811969_-@NDST2_ENSMUST00000223679.1:Ndst2 182
2310	ENSMUST00000184554.7	chr10_135305_135604_+@ZMYND11_ENSMUST00000220996.1:Zmynd11	132	143	971	982	12	0.91667	38	120	36	959	36	0.84722	-13.2	8.16e-05	0.000543	chr10_135305_135604_+@ZMYND11_ENSMUST00000220996.1:Zmynd11 132
2311	ENSMUST00000184554.7	chr2_135741476_135741691_+@UBXN4_ENSMUST00000027592.5:Ubxn4	17	26	651	660	10	0.9	37	7	30	641	30	0.8	-13.2	0.00326	0.00785	chr2_135741476_135741691_+@UBXN4_ENSMUST00000027592.5:Ubxn4 17
2312	ENSMUST00000184554.7	chr19_15449793_15450092_-@WIZ_ENSMUST00000171728.2:Wiz	36	50	813	828	16	0.9375	40	20	47	797	48	0.85263	-13.2	0.000268	0.0013	chr19_15449793_15450092_-@WIZ_ENSMUST00000171728.2:Wiz 36
2313	ENSMUST00000184554.7	chr4_2843751_2843923_+@ADD1_ENSMUST00000145986.1:Add1	163	177	594	608	15	0.8	36	148	45	579	45	0.61111	-13.2	0.00767	0.0151	chr4_2843751_2843923_+@ADD1_ENSMUST00000145986.1:Add1 163
2314	ENSMUST00000184554.7	chr12_68610749_68611048_+@RAP1B_ENSMUST00000064667.8:Rap1b	37	48	748	759	12	0.91667	38	25	36	736	36	0.88889	-13.2	2.62e-06	5.18e-05	chr12_68610749_68611048_+@RAP1B_ENSMUST00000064667.8:Rap1b 37
2315	ENSMUST00000184554.7	chr10_134894_135136_+@ZMYND11_ENSMUST00000223421.1:Zmynd11	132	143	448	459	12	0.91667	38	120	36	436	36	0.84722	-13.2	2.26e-09	6.73e-07	chr10_134894_135136_+@ZMYND11_ENSMUST00000223421.1:Zmynd11 132
2316	ENSMUST00000184554.7	chr9_35815021_35815191_-@HINT2_ENSMUST00000151238.7:Hint2	188	204	818	835	18	0.77778	37	170	53	800	54	0.64486	-13.19	0.000289	0.00137	chr9_35815021_35815191_-@HINT2_ENSMUST00000151238.7:Hint2 188
2317	ENSMUST00000184554.7	chr11_64234561_64234733_+@VEGFB_ENSMUST00000130048.7:Vegfb	30	39	929	938	10	0.9	37	20	30	919	30	0.86667	-13.19	0.000302	0.0014	chr11_64234561_64234733_+@VEGFB_ENSMUST00000130048.7:Vegfb 30
2318	ENSMUST00000184554.7	chr5_177497451_177497750_-@PDLIM7_ENSMUST00000136583.1:Pdlim7	32	42	355	365	11	0.81818	36	21	33	344	33	0.83333	-13.19	0.00763	0.0151	chr5_177497451_177497750_-@PDLIM7_ENSMUST00000136583.1:Pdlim7 32
2319	ENSMUST00000184554.7	chr18_500551_500850_-@COLEC12_ENSMUST00000234149.1:Colec12	413	442	867	896	30	0.7	41	383	90	837	90	0.38889	-13.19	7.47e-05	0.000521	chr18_500551_500850_-@COLEC12_ENSMUST00000234149.1:Colec12 413
2320	ENSMUST00000184554.7	chr12_2794844_2795143_+@FKBP4_ENSMUST00000139448.6:Fkbp4	19	30	668	679	12	0.91667	43	7	36	656	36	0.77778	-13.18	0.000667	0.00247	chr12_2794844_2795143_+@FKBP4_ENSMUST00000139448.6:Fkbp4 19
2321	ENSMUST00000184554.7	chr19_2236276_2236575_+@SF3A2_ENSMUST00000218209.1:Plekhj1	181	206	368	393	26	0.69231	38	155	78	342	78	0.66667	-13.18	0.000192	0.00101	chr19_2236276_2236575_+@SF3A2_ENSMUST00000218209.1:Plekhj1 181
2322	ENSMUST00000184554.7	chr19_49851171_49851331_+@PTOV1_ENSMUST00000208682.1:Ptov1	20	28	710	718	9	1	36	11	27	701	27	0.7963	-13.18	0.00021	0.00108	chr19_49851171_49851331_+@PTOV1_ENSMUST00000208682.1:Ptov1 20
2323	ENSMUST00000184554.7	chr20_50190418_50190699_+@RP11-112L6.4_ENSMUST00000070642.3:Cebpb	20	53	430	463	34	0.70588	41	1	87	396	102	0.80423	-13.18	3.89e-07	1.56e-05	chr20_50190418_50190699_+@RP11-112L6.4_ENSMUST00000070642.3:Cebpb 20
2324	ENSMUST00000184554.7	chr10_116272859_116273101_-@GFRA1_ENSMUST00000135730.1:Gfra1	18	32	806	820	15	0.73333	39	3	45	791	45	0.77778	-13.18	0.000338	0.00153	chr10_116272859_116273101_-@GFRA1_ENSMUST00000135730.1:Gfra1 18
2325	ENSMUST00000184554.7	chr6_90586917_90587216_-@MAP3K7_ENSMUST00000108183.7:Map3k7	122	142	22	42	21	0.66667	40	101	63	1	63	0.73016	-13.17	0.000791	0.00281	chr6_90586917_90587216_-@MAP3K7_ENSMUST00000108183.7:Map3k7 122
2326	ENSMUST00000184554.7	chr19_46601126_46601321_+@CALM3_ENSMUST00000173557.1:Calm3	132	148	20	36	17	0.76471	45	115	51	3	51	0.70588	-13.17	0.00336	0.008	chr19_46601126_46601321_+@CALM3_ENSMUST00000173557.1:Calm3 132
2327	ENSMUST00000184554.7	chr10_79445521_79445727_-@ZCCHC24_ENSMUST00000069180.7:Zcchc24	2	46	908	951	45	0.66667	44	1	91	863	134	0.84889	-13.17	0.000226	0.00115	chr10_79445521_79445727_-@ZCCHC24_ENSMUST00000069180.7:Zcchc24 2
2328	ENSMUST00000184554.7	chr17_40818812_40819008_-@KRT10_ENSMUST00000211768.1:Krt10	21	47	892	918	27	0.74074	48	1	74	865	81	0.76129	-13.17	4.51e-07	1.68e-05	chr17_40818812_40819008_-@KRT10_ENSMUST00000211768.1:Krt10 21
2329	ENSMUST00000184554.7	chr18_12377157_12377358_-@AFG3L2_ENSMUST00000235409.1:Afg3l2	81	94	720	733	14	0.78571	36	67	42	706	42	0.79762	-13.17	0.00829	0.016	chr18_12377157_12377358_-@AFG3L2_ENSMUST00000235409.1:Afg3l2 81
2330	ENSMUST00000184554.7	chr11_73376414_73376576_+@RELT_ENSMUST00000136231.1:Relt	96	141	728	775	48	0.64583	48	48	142	680	144	0.74825	-13.16	0.00037	0.00161	chr11_73376414_73376576_+@RELT_ENSMUST00000136231.1:Relt 96
2331	ENSMUST00000184554.7	chr7_140924558_140924814_-@BRAF_ENSMUST00000101497.3:Braf	81	96	950	965	16	0.8125	53	65	48	934	48	0.8125	-13.16	0.00773	0.0152	chr7_140924558_140924814_-@BRAF_ENSMUST00000101497.3:Braf 81
2332	ENSMUST00000184554.7	chr17_28717775_28717853_-@RAB34_ENSMUST00000056241.11:Rab34	33	53	137	157	21	0.90476	62	12	63	116	63	0.79365	-13.16	0.00194	0.00527	chr17_28717775_28717853_-@RAB34_ENSMUST00000056241.11:Rab34 33
2333	ENSMUST00000184554.7	chr18_8609322_8609621_+@RAB12_ENSMUST00000167962.1:Rab12	129	142	980	993	14	0.85714	36	115	42	966	35	0.87013	-13.16	1.09e-05	0.000136	chr18_8609322_8609621_+@RAB12_ENSMUST00000167962.1:Rab12 129
2334	ENSMUST00000184554.7	chr8_124998355_124998526_+@SQLE_ENSMUST00000022977.13:Sqle	177	191	892	906	15	0.86667	41	162	45	877	45	0.72222	-13.16	0.000484	0.00195	chr8_124998355_124998526_+@SQLE_ENSMUST00000022977.13:Sqle 177
2335	ENSMUST00000184554.7	chr20_56630626_56630925_+@TFAP2C_ENSMUST00000170744.1:Tfap2c	321	332	277	288	12	0.83333	38	309	36	265	36	0.51389	-13.16	0.000442	0.00184	chr20_56630626_56630925_+@TFAP2C_ENSMUST00000170744.1:Tfap2c 321
2336	ENSMUST00000184554.7	chr18_55588042_55588341_-@TCF4_ENSMUST00000114980.7:Tcf4	42	50	173	181	9	1	36	33	27	164	27	0.90741	-13.16	0.00162	0.00466	chr18_55588042_55588341_-@TCF4_ENSMUST00000114980.7:Tcf4 42
2337	ENSMUST00000184554.7	chr9_114155387_114155686_+@COL27A1_ENSMUST00000036300.12:Col27a1	27	46	20	39	20	0.8	43	7	60	1	59	0.79832	-13.16	3.53e-06	6.45e-05	chr9_114155387_114155686_+@COL27A1_ENSMUST00000036300.12:Col27a1 27
2338	ENSMUST00000184554.7	chr11_44095671_44095688_+@EXT2_ENSMUST00000125407.7:Ext2	93	109	813	829	17	0.88235	48	76	51	796	51	0.85294	-13.16	0.00281	0.00701	chr11_44095671_44095688_+@EXT2_ENSMUST00000125407.7:Ext2 93
2339	ENSMUST00000184554.7	chr6_139134930_139135093_+@HECA_ENSMUST00000037879.7:Heca	11	84	468	541	75	0.62667	57	11	74	468	74	0.85135	-13.155	9.48e-09	1.32e-06	chr6_139134930_139135093_+@HECA_ENSMUST00000037879.7:Heca 11
2340	ENSMUST00000184554.7	chr12_106247852_106248141_-@CKAP4_ENSMUST00000167671.1:Ckap4	19	28	974	983	10	0.9	37	9	30	964	30	0.76667	-13.15	0.000366	0.0016	chr12_106247852_106248141_-@CKAP4_ENSMUST00000167671.1:Ckap4 19
2341	ENSMUST00000184554.7	chr13_21459118_21459417_-@ZDHHC20_ENSMUST00000225955.1:Zdhhc20	149	160	945	956	12	0.91667	39	137	36	933	36	0.69444	-13.15	0.00358	0.00836	chr13_21459118_21459417_-@ZDHHC20_ENSMUST00000225955.1:Zdhhc20 149
2342	ENSMUST00000184554.7	chr9_131393956_131394255_+@PRRC2B_ENSMUST00000069817.14:Prrc2b	321	332	339	350	12	0.91667	39	309	36	327	36	0.54167	-13.15	0.00794	0.0154	chr9_131393956_131394255_+@PRRC2B_ENSMUST00000069817.14:Prrc2b 321
2343	ENSMUST00000184554.7	chr17_64975572_64975725_-@AMZ2P1_ENSMUST00000020929.16:Amz2	96	105	299	308	10	0.9	37	86	30	289	30	0.71667	-13.15	0.00165	0.00469	chr17_64975572_64975725_-@AMZ2P1_ENSMUST00000020929.16:Amz2 96
2344	ENSMUST00000184554.7	chr6_31620545_31620705_+@PRRC2A_ENSMUST00000025253.11:Prrc2a	84	97	589	602	14	0.85714	37	70	42	575	42	0.82143	-13.14	5.93e-05	0.000446	chr6_31620545_31620705_+@PRRC2A_ENSMUST00000025253.11:Prrc2a 84
2345	ENSMUST00000184554.7	chr10_122980272_122980571_+@PSTK_ENSMUST00000207933.1:Pstk	37	50	811	824	14	0.78571	38	23	42	797	42	0.64286	-13.14	0.00193	0.00527	chr10_122980272_122980571_+@PSTK_ENSMUST00000207933.1:Pstk 37
2346	ENSMUST00000184554.7	chr2_229922159_229922387_-@TRIP12_ENSMUST00000185909.6:Trip12	181	191	453	463	11	0.81818	36	170	33	442	33	0.71212	-13.14	0.000567	0.00219	chr2_229922159_229922387_-@TRIP12_ENSMUST00000185909.6:Trip12 181
2347	ENSMUST00000184554.7	chr6_31620731_31620894_+@PRRC2A_ENSMUST00000172929.1:Prrc2a	84	97	651	664	14	0.85714	37	70	42	637	42	0.82143	-13.14	6.89e-05	0.000489	chr6_31620731_31620894_+@PRRC2A_ENSMUST00000172929.1:Prrc2a 84
2348	ENSMUST00000184554.7	chr9_136245662_136245961_-@QSOX2_ENSMUST00000036187.8:Qsox2	71	105	694	728	35	0.65714	39	36	105	659	105	0.82857	-13.14	0.00088	0.00303	chr9_136245662_136245961_-@QSOX2_ENSMUST00000036187.8:Qsox2 71
2349	ENSMUST00000184554.7	chr7_33109248_33109547_-@RP9_ENSMUST00000217370.1:Rp9	180	192	962	974	13	0.76923	36	167	39	949	39	0.75641	-13.14	1.25e-06	3.27e-05	chr7_33109248_33109547_-@RP9_ENSMUST00000217370.1:Rp9 180
2350	ENSMUST00000184554.7	chr6_17987485_17987784_-@KIF13A_ENSMUST00000224457.1:Kif13a	56	97	944	983	42	0.71429	67	14	126	902	99	0.84889	-13.14	0.00871	0.0165	chr6_17987485_17987784_-@KIF13A_ENSMUST00000224457.1:Kif13a 56
2351	ENSMUST00000184554.7	chr2_135741476_135741691_+@UBXN4_ENSMUST00000027592.5:Ubxn4	82	119	636	672	38	0.73684	60	44	114	598	113	0.77533	-13.13	0.00326	0.00785	chr2_135741476_135741691_+@UBXN4_ENSMUST00000027592.5:Ubxn4 82
2352	ENSMUST00000184554.7	chr5_143403910_143404161_-@NR3C1_ENSMUST00000152853.1:Nr3c1	122	138	557	573	17	0.76471	42	105	51	540	51	0.81373	-13.13	2.53e-05	0.000251	chr5_143403910_143404161_-@NR3C1_ENSMUST00000152853.1:Nr3c1 122
2353	ENSMUST00000184554.7	chr12_48350715_48351014_-@ZNF641_ENSMUST00000023722.11:Zfp641	189	205	608	624	17	0.76471	38	172	51	591	51	0.65686	-13.13	0.00398	0.0091	chr12_48350715_48351014_-@ZNF641_ENSMUST00000023722.11:Zfp641 189
2354	ENSMUST00000184554.7	chr9_127785884_127786183_+@CDK9_ENSMUST00000154131.1:Cdk9	128	142	928	942	15	0.86667	40	113	45	913	45	0.86667	-13.13	2.64e-06	5.18e-05	chr9_127785884_127786183_+@CDK9_ENSMUST00000154131.1:Cdk9 128
2355	ENSMUST00000184554.7	chr1_167936597_167936845_+@DCAF6_ENSMUST00000027856.12:Dcaf6	37	49	441	453	13	0.76923	36	24	39	428	39	0.83333	-13.13	7.69e-05	0.000526	chr1_167936597_167936845_+@DCAF6_ENSMUST00000027856.12:Dcaf6 37
2356	ENSMUST00000184554.7	chr11_73376414_73376576_+@RELT_ENSMUST00000136231.1:Relt	21	47	821	845	27	0.81481	44	1	74	794	79	0.81046	-13.12	0.00037	0.00161	chr11_73376414_73376576_+@RELT_ENSMUST00000136231.1:Relt 21
